Equipo,ACT,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Temporada
Elche,15.6,11.2,1.58,1.11,0.61,0.74,0.34,1.79,1.32,0.11,0.18,0.08,0.05,0.05,2021-2022
Espanyol,19.0,13.7,1.55,1.24,1.05,1.08,0.34,1.76,1.18,0.13,0.11,0.21,0.08,0.05,2021-2022
Getafe,18.4,12.2,2.24,0.84,1.05,1.61,0.47,1.39,1.00,0.18,0.08,0.05,0.03,0.05,2021-2022
Granada,18.5,12.8,1.76,1.13,1.29,1.05,0.39,1.79,1.18,0.21,0.08,0.16,0.05,0.11,2021-2022
Levante,18.9,12.8,2.11,1.26,1.71,0.74,0.34,2.08,1.45,0.08,0.13,0.24,0.16,0.03,2021-2022
Mallorca,20.0,13.0,2.37,1.24,1.45,1.45,0.50,1.55,0.84,0.16,0.11,0.18,0.21,0.05,2021-2022
Osasuna,19.0,13.2,2.24,0.74,1.29,1.16,0.34,1.63,1.11,0.18,0.00,0.18,0.11,0.05,2021-2022
Rayo Vallecano,22.7,15.9,2.58,0.97,1.42,1.37,0.47,1.66,0.95,0.13,0.18,0.21,0.13,0.05,2021-2022
Real Madrid,31.4,24.3,1.79,2.18,1.47,1.29,0.45,3.66,2.68,0.05,0.34,0.29,0.21,0.08,2021-2022
Real Sociedad,20.3,13.9,1.84,1.47,1.50,1.21,0.37,1.82,1.00,0.08,0.16,0.32,0.26,0.00,2021-2022
Sevilla,20.6,15.2,2.05,0.92,0.92,1.13,0.39,2.50,1.66,0.24,0.21,0.18,0.13,0.08,2021-2022
Valencia,18.9,12.6,2.45,1.18,0.68,1.68,0.29,2.18,1.39,0.21,0.18,0.08,0.29,0.03,2021-2022
Villarreal,21.1,15.6,1.92,1.50,1.00,0.74,0.29,2.95,1.92,0.32,0.29,0.26,0.13,0.03,2021-2022
Almeria,19.9,14.0,1.92,1.34,1.34,0.87,0.45,2.00,1.34,0.18,0.21,0.18,0.08,0.00,2022-2023
Athletic Club,24.9,17.8,2.53,1.47,1.55,1.05,0.42,2.05,1.42,0.08,0.16,0.18,0.18,0.03,2022-2023
Atletico de Madrid,25.2,19.9,1.55,1.24,1.34,0.84,0.34,3.05,2.16,0.18,0.24,0.34,0.08,0.05,2022-2023
Barcelona,27.6,21.7,1.71,1.63,1.53,0.79,0.29,3.29,2.79,0.05,0.16,0.29,0.00,0.00,2022-2023
Betis,19.5,14.4,1.45,1.39,1.16,0.92,0.18,1.82,1.24,0.08,0.13,0.24,0.13,0.00,2022-2023
Cadiz,17.4,12.1,1.82,0.95,1.11,1.00,0.45,1.29,0.84,0.05,0.21,0.13,0.05,0.00,2022-2023
Celta Vigo,21.6,16.4,1.63,1.18,1.08,0.97,0.29,1.84,1.45,0.08,0.16,0.08,0.03,0.05,2022-2023
Elche,19.1,13.0,2.71,1.24,0.97,0.87,0.29,1.42,0.95,0.18,0.00,0.11,0.13,0.05,2022-2023
Espanyol,19.3,13.3,2.08,1.13,1.39,1.08,0.34,2.21,1.53,0.05,0.13,0.34,0.08,0.08,2022-2023
Getafe,16.3,10.9,2.21,0.66,0.92,1.42,0.18,1.34,1.00,0.11,0.05,0.05,0.11,0.03,2022-2023
Girona,21.6,15.7,2.26,1.08,1.18,1.13,0.24,2.68,1.84,0.26,0.03,0.13,0.34,0.08,2022-2023
Mallorca,14.8,9.82,2.00,0.87,0.79,1.11,0.24,1.66,0.97,0.29,0.11,0.11,0.13,0.05,2022-2023
Osasuna,20.5,14.8,2.03,1.39,1.08,0.79,0.37,1.82,1.39,0.18,0.00,0.13,0.11,0.00,2022-2023
Rayo Vallecano,23.2,17.1,2.03,1.13,1.05,1.21,0.63,1.82,1.32,0.13,0.16,0.08,0.11,0.03,2022-2023
Real Madrid,31.4,23.5,2.24,2.32,1.37,1.76,0.21,3.53,2.50,0.13,0.39,0.21,0.26,0.03,2022-2023
Real Sociedad,21.1,15.6,1.87,1.08,1.03,1.00,0.45,2.16,1.68,0.08,0.13,0.11,0.08,0.08,2022-2023
Sevilla,22.0,16.8,1.95,0.68,1.08,1.03,0.45,2.16,1.47,0.21,0.18,0.16,0.13,0.00,2022-2023
Valencia,22.6,16.0,2.11,1.55,1.21,1.34,0.42,1.63,1.05,0.16,0.05,0.18,0.16,0.03,2022-2023
Valladolid,20.8,15.3,2.03,1.03,0.95,1.21,0.34,1.55,1.05,0.16,0.11,0.11,0.13,0.00,2022-2023
Villarreal,23.3,17.5,1.18,1.92,1.39,1.05,0.21,2.34,1.55,0.05,0.34,0.29,0.11,0.00,2022-2023
Alaves,21.5,14.8,2.32,1.42,1.39,1.13,0.42,1.58,1.03,0.13,0.16,0.11,0.16,0.00,2023-2024
Almeria,21.7,15.4,1.74,1.24,1.37,1.32,0.58,1.84,1.18,0.08,0.18,0.24,0.11,0.05,2023-2024
Athletic Club,21.5,16.1,2.13,1.26,0.87,0.84,0.29,2.71,2.18,0.16,0.16,0.08,0.11,0.03,2023-2024
Atletico de Madrid,22.4,17.1,1.55,1.47,1.11,0.82,0.37,3.16,2.47,0.08,0.26,0.18,0.13,0.03,2023-2024
Barcelona,28.0,21.0,2.18,1.66,1.82,1.03,0.29,3.58,2.76,0.16,0.16,0.29,0.18,0.03,2023-2024
Betis,22.9,16.6,1.97,1.37,1.63,0.89,0.39,2.05,1.50,0.08,0.13,0.18,0.08,0.08,2023-2024
Cadiz,18.4,12.6,2.24,0.79,1.26,1.11,0.39,1.05,0.66,0.11,0.03,0.13,0.11,0.03,2023-2024
Celta Vigo,22.5,17.0,1.76,1.32,1.13,1.11,0.21,2.13,1.66,0.05,0.13,0.13,0.16,0.00,2023-2024
Getafe,20.2,14.0,2.29,1.18,1.26,1.05,0.39,1.82,1.05,0.21,0.21,0.24,0.11,0.00,2023-2024
Girona,22.9,17.7,1.63,1.18,1.18,0.95,0.26,4.00,3.13,0.18,0.26,0.18,0.21,0.03,2023-2024
Granada,18.6,12.5,1.95,1.24,1.32,1.29,0.34,1.66,1.18,0.08,0.08,0.13,0.13,0.05,2023-2024
Las Palmas,18.6,14.7,1.05,1.00,0.79,0.79,0.24,1.58,1.29,0.08,0.03,0.08,0.08,0.03,2023-2024
Mallorca,19.3,13.2,2.61,0.97,1.37,0.87,0.32,1.50,0.87,0.32,0.03,0.21,0.08,0.00,2023-2024
Osasuna,18.8,13.3,2.03,0.84,1.24,1.18,0.21,1.92,1.18,0.21,0.11,0.26,0.16,0.00,2023-2024
Rayo Vallecano,21.4,14.4,2.08,0.95,1.63,1.84,0.53,1.05,0.55,0.08,0.08,0.18,0.13,0.03,2023-2024
Real Madrid,28.5,21.4,1.89,2.21,1.55,1.00,0.42,4.05,2.97,0.21,0.42,0.34,0.05,0.05,2023-2024
Real Sociedad,20.4,13.9,2.08,1.39,1.55,0.97,0.50,2.08,1.42,0.11,0.16,0.24,0.11,0.05,2023-2024
Sevilla,23.0,16.9,2.47,1.11,1.05,1.18,0.32,2.21,1.63,0.16,0.16,0.13,0.05,0.08,2023-2024
Valencia,17.6,12.6,1.74,1.00,0.76,1.11,0.45,1.74,1.24,0.08,0.13,0.13,0.16,0.00,2023-2024
Villarreal,22.5,16.4,2.00,1.39,1.47,0.79,0.42,2.92,2.03,0.24,0.11,0.39,0.13,0.03,2023-2024
