Equipo,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Att,Succ,Tkld,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Temporada
Mallorca,516.5,61.6,173.4,221.2,128.2,18.1,18.7,10.3,8.34,300.1,1732.9,908.9,19.5,13.9,5.29,16.4,9.29,307.7,31.6,2019-2020
Osasuna,529.5,52.7,159.8,247.4,128.1,17.4,13.8,8.29,5.53,261.4,1346.7,673.9,14.8,11.3,3.26,16.1,8.05,285.3,35.4,2019-2020
Real Madrid,728.8,58.8,202.9,330.3,201.9,27.3,20.2,12.7,7.50,451.2,2428.0,1251.2,25.0,19.1,7.95,13.6,8.29,525.8,51.3,2019-2020
Real Sociedad,632.6,61.6,198.8,298.7,140.2,20.5,15.6,9.34,6.16,368.6,1996.6,1069.3,19.4,13.8,3.92,14.5,9.39,416.5,41.4,2019-2020
Sevilla,675.0,58.7,205.1,307.3,168.1,24.2,17.6,10.9,6.68,380.0,1971.8,1028.6,21.1,15.0,5.55,14.2,9.26,458.7,47.5,2019-2020
Valencia,574.9,68.2,202.6,255.1,122.5,16.8,14.4,9.08,5.34,339.3,1866.1,955.5,17.7,12.9,3.00,13.7,7.45,378.6,36.0,2019-2020
Valladolid,510.8,56.9,173.9,238.3,104.7,12.6,15.0,8.89,6.08,262.8,1460.9,720.5,13.4,10.6,2.89,14.1,8.53,292.2,28.8,2019-2020
Villarreal,635.2,66.6,207.2,296.3,137.7,20.3,18.2,11.3,6.82,347.1,1871.1,990.0,18.3,13.6,5.50,15.8,8.16,424.0,38.7,2019-2020
Alaves,478.8,55.4,171.1,212.7,99.7,15.1,12.3,6.68,5.63,236.5,1169.7,551.1,10.6,8.29,2.74,14.7,6.74,266.1,24.3,2020-2021
Athletic Club,563.4,50.6,154.3,269.9,144.2,17.8,13.2,8.00,5.18,293.5,1709.0,925.0,18.0,13.4,3.87,13.1,8.82,354.6,38.9,2020-2021
Atletico de Madrid,646.3,51.8,178.3,316.4,156.2,23.5,15.5,9.84,5.63,359.9,1776.7,950.3,18.3,12.7,5.00,13.2,9.00,438.1,42.1,2020-2021
Barcelona,841.4,58.9,192.1,392.3,262.2,32.0,20.3,13.5,6.76,553.7,2757.4,1477.8,25.6,24.5,7.26,12.6,8.97,659.3,56.4,2020-2021
Betis,622.3,55.4,182.9,294.1,150.9,20.8,16.8,11.1,5.74,349.4,1758.4,908.7,18.3,14.4,4.53,15.6,9.66,412.7,37.6,2020-2021
Cadiz,420.5,55.8,154.6,176.7,94.7,11.5,13.5,8.45,5.05,190.9,1092.8,545.6,12.0,9.42,2.08,14.8,7.74,206.8,22.1,2020-2021
Celta Vigo,612.4,64.3,210.5,282.0,124.8,15.6,12.2,7.26,4.97,346.4,1637.2,819.8,13.5,11.3,2.87,14.0,7.34,396.3,34.2,2020-2021
Eibar,548.1,46.4,146.1,251.6,155.9,17.7,13.7,8.42,5.24,274.4,1412.8,641.9,13.3,9.84,2.68,17.3,8.42,307.5,33.7,2020-2021
Elche,548.7,67.7,219.7,240.6,93.6,11.0,16.3,9.61,6.66,310.2,1544.4,750.4,13.2,9.63,1.92,16.2,9.08,352.1,24.2,2020-2021
Getafe,465.2,41.8,123.4,206.6,141.2,17.6,12.7,6.92,5.79,214.1,1149.7,553.6,11.7,10.3,3.05,16.0,9.32,233.7,28.3,2020-2021
Granada,451.4,56.1,157.9,194.4,103.9,14.0,13.6,8.21,5.37,213.7,1155.0,564.8,10.8,7.58,2.76,13.8,9.11,236.3,25.3,2020-2021
Huesca,559.7,63.1,209.4,239.5,117.6,15.6,17.2,11.2,6.00,308.6,1715.9,895.4,16.3,11.9,2.97,14.2,8.03,352.4,30.9,2020-2021
Levante,575.9,63.4,201.4,250.1,129.8,17.9,16.2,9.63,6.53,327.4,1676.4,879.0,16.3,11.7,3.58,14.4,8.58,370.3,40.2,2020-2021
Osasuna,499.1,55.3,158.2,228.6,117.0,16.4,11.6,6.45,5.13,228.6,1131.1,519.3,9.08,8.29,1.68,15.5,8.16,266.3,31.6,2020-2021
Real Madrid,733.1,60.0,208.2,325.2,205.6,26.9,17.0,11.3,5.68,450.7,2502.5,1314.2,25.3,19.4,6.37,14.4,8.29,540.5,50.2,2020-2021
Real Sociedad,595.3,55.0,171.8,282.2,146.8,21.7,14.5,8.68,5.79,337.3,1858.4,977.7,16.5,12.9,3.29,13.6,8.18,387.6,40.3,2020-2021
Sevilla,696.9,65.7,215.5,322.3,163.9,20.6,15.8,10.3,5.45,415.6,2059.7,1024.3,18.2,14.5,3.97,13.6,8.13,503.4,42.3,2020-2021
Valencia,532.6,67.8,189.4,229.9,119.0,14.7,14.6,8.97,5.58,302.5,1651.2,862.2,15.1,12.3,2.68,13.1,7.05,333.1,30.7,2020-2021
Valladolid,510.6,58.6,172.6,221.5,121.8,14.7,13.3,7.66,5.63,255.8,1370.0,675.4,14.8,11.1,2.95,13.8,8.63,290.9,28.7,2020-2021
Villarreal,653.1,64.3,206.3,301.8,150.8,21.6,18.2,11.5,6.71,380.1,2039.2,1101.6,19.4,14.7,4.87,14.3,8.84,455.6,42.3,2020-2021
Alaves,483.4,58.5,163.6,213.3,111.4,15.9,13.3,7.13,6.13,228.9,1124.7,540.5,11.1,8.16,2.68,16.2,7.32,252.0,25.5,2021-2022
Athletic Club,559.3,54.4,163.5,250.8,150.6,21.0,13.9,7.82,6.11,283.6,1520.5,802.9,17.2,12.1,3.84,15.0,8.97,337.9,41.0,2021-2022
Atletico de Madrid,606.3,52.8,178.6,282.3,150.1,22.8,15.8,10.1,5.71,332.3,1726.7,915.8,18.6,14.0,4.32,14.6,9.29,394.2,38.3,2021-2022
Barcelona,757.3,58.8,186.7,376.8,199.1,27.8,19.7,12.5,7.18,479.7,2457.2,1381.8,25.3,18.5,7.37,16.4,9.42,561.4,54.2,2021-2022
Betis,623.4,60.5,192.4,288.7,147.4,21.7,17.2,9.79,7.45,343.2,1749.9,891.5,17.5,12.7,4.92,15.5,9.58,409.8,39.5,2021-2022
Cadiz,488.8,58.3,171.1,207.8,115.1,17.0,13.7,7.39,6.26,238.5,1367.2,704.0,15.0,10.1,2.79,15.2,7.66,264.2,28.0,2021-2022
Celta Vigo,652.3,59.8,196.8,309.8,151.0,18.9,15.6,9.11,6.42,358.1,1913.0,1014.9,17.5,14.3,3.29,15.1,8.16,417.6,37.7,2021-2022
Elche,549.7,65.6,201.5,239.1,113.5,13.1,15.7,8.92,6.79,291.0,1459.9,690.7,14.0,10.6,2.34,17.1,8.68,338.0,28.6,2021-2022
Espanyol,551.8,68.5,198.0,241.2,117.7,15.3,16.2,9.82,6.39,294.5,1582.2,795.3,16.1,12.3,3.13,14.8,8.71,348.4,31.5,2021-2022
Getafe,491.0,52.7,157.6,229.8,108.6,14.5,11.9,6.37,5.53,245.4,1177.5,546.0,10.5,8.63,2.42,15.9,7.92,268.3,23.9,2021-2022
Granada,501.4,63.2,176.4,216.8,112.8,15.8,13.0,7.11,5.92,243.6,1303.2,651.6,11.4,9.32,2.53,15.5,8.45,275.4,27.3,2021-2022
