Equipo,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Temporada
Athletic Club,340.7,454.8,74.9,6031.5,2407.2,0.89,0.99,0.95,-0.09,9.24,27.8,8.05,2.16,41.4,2021-2022
Atletico de Madrid,396.7,502.6,78.9,6661.6,2334.7,1.18,1.06,1.04,0.13,9.13,26.0,8.55,1.74,38.5,2021-2022
Barcelona,565.5,658.1,85.9,9454.7,3024.3,1.37,1.25,1.44,0.12,10.6,44.7,10.3,2.61,54.7,2021-2022
Betis,413.2,511.7,80.8,7198.3,2616.3,1.18,0.99,0.92,0.19,10.4,29.9,7.74,1.34,39.9,2021-2022
Cadiz,266.7,379.3,70.3,5147.0,2049.0,0.55,0.65,0.76,-0.09,7.29,21.8,6.13,3.16,28.4,2021-2022
Celta Vigo,421.2,541.9,77.7,7546.6,2520.9,0.76,0.76,0.83,0.01,7.53,29.1,7.50,2.21,38.1,2021-2022
Elche,340.7,443.1,76.9,6241.9,2449.9,0.76,0.73,0.65,0.04,6.87,22.7,5.37,2.05,29.0,2021-2022
Espanyol,351.6,445.2,79.0,6259.6,2331.6,0.66,0.68,0.65,-0.02,7.89,26.1,5.58,1.55,31.9,2021-2022
Getafe,270.5,384.4,70.4,5179.3,2171.3,0.68,0.51,0.52,0.17,7.58,21.3,4.37,1.92,24.1,2021-2022
Granada,278.5,391.8,71.1,5244.4,2153.1,0.74,0.70,0.68,0.03,8.05,22.1,5.39,2.16,27.6,2021-2022
Levante,331.2,432.2,76.6,5967.3,2340.5,0.89,0.83,0.68,0.06,8.37,25.5,6.68,1.66,35.3,2021-2022
Mallorca,290.7,395.3,73.5,5129.9,2158.1,0.61,0.68,0.74,-0.07,7.97,21.2,6.18,1.68,29.7,2021-2022
Osasuna,313.3,434.8,72.0,6001.4,2533.6,0.61,0.60,0.73,0.00,7.82,28.9,7.84,3.26,34.9,2021-2022
Rayo Vallecano,335.4,445.6,75.3,6256.9,2448.9,0.74,0.81,0.94,-0.07,9.45,26.6,7.03,2.87,34.5,2021-2022
Real Madrid,562.4,645.2,87.2,9356.8,2964.6,1.55,1.33,1.45,0.22,13.8,44.6,12.0,1.50,54.7,2021-2022
Real Sociedad,405.3,508.0,79.8,7086.0,2583.8,0.58,0.87,0.92,-0.29,8.24,28.1,8.29,1.82,38.5,2021-2022
Sevilla,482.3,585.1,82.4,8991.8,2882.1,1.05,0.86,0.91,0.20,9.00,31.8,8.03,2.95,42.0,2021-2022
Valencia,253.3,362.6,69.9,4932.6,2045.3,0.79,0.67,0.72,0.12,7.58,23.7,6.74,1.97,31.6,2021-2022
Villarreal,438.9,536.9,81.8,7736.9,2715.9,1.34,1.34,1.31,0.00,9.55,33.6,9.18,1.74,44.7,2021-2022
Almeria,319.8,417.2,76.6,5933.6,2349.4,0.87,0.86,0.74,0.01,8.32,22.3,5.74,2.13,28.7,2022-2023
Athletic Club,380.0,490.3,77.5,6884.7,2527.3,0.87,1.02,0.94,-0.16,10.9,36.4,8.97,2.82,47.8,2022-2023
Atletico de Madrid,442.5,539.2,82.1,7306.0,2680.0,1.34,1.26,1.05,0.08,11.0,31.6,8.82,1.79,41.3,2022-2023
Barcelona,560.5,650.9,86.1,9588.8,3030.0,1.47,1.58,1.75,-0.11,11.8,48.9,12.7,2.74,57.4,2022-2023
Betis,386.3,480.2,80.4,6454.6,2433.2,0.68,0.91,0.83,-0.23,8.16,26.0,7.11,1.42,33.5,2022-2023
Cadiz,261.6,367.2,71.2,5002.7,2070.4,0.53,0.73,0.65,-0.20,7.08,21.8,5.05,2.45,25.5,2022-2023
Celta Vigo,386.8,486.8,79.5,7026.4,2396.7,0.82,0.81,0.83,0.01,9.29,30.1,7.21,2.03,36.9,2022-2023
Elche,317.1,414.7,76.5,5751.1,2301.6,0.55,0.71,0.69,-0.16,8.24,24.8,5.55,2.16,31.5,2022-2023
Espanyol,284.9,386.8,73.7,5481.4,2273.7,0.82,0.92,0.79,-0.11,8.39,23.8,6.13,2.18,30.2,2022-2023
Getafe,255.0,371.7,68.6,4988.3,2208.6,0.55,0.59,0.63,-0.04,6.53,22.2,5.63,2.47,26.4,2022-2023
Girona,398.6,489.6,81.4,6968.7,2518.6,1.08,0.99,0.93,0.09,9.63,28.6,6.97,2.39,36.3,2022-2023
Mallorca,275.0,375.3,73.3,5260.4,2211.5,0.71,0.70,0.61,0.01,6.63,21.4,4.79,1.82,24.9,2022-2023
Osasuna,334.9,443.0,75.6,6374.6,2515.7,0.79,0.75,0.83,0.04,8.47,30.0,7.13,3.00,35.7,2022-2023
Rayo Vallecano,355.2,464.9,76.4,6613.7,2418.4,0.76,0.79,0.78,-0.03,10.2,32.8,7.08,2.68,36.6,2022-2023
Real Madrid,581.1,658.2,88.3,9410.2,2996.8,1.47,1.49,1.49,-0.02,13.7,49.5,10.1,1.32,53.1,2022-2023
Real Sociedad,403.3,503.5,80.1,7090.1,2530.5,0.95,1.04,0.96,-0.10,9.11,30.1,7.63,1.71,39.0,2022-2023
Sevilla,404.7,505.1,80.1,7209.3,2509.7,0.82,0.84,0.89,-0.03,8.97,32.4,7.95,2.50,39.8,2022-2023
Valencia,357.7,460.3,77.7,6337.3,2275.4,0.61,0.86,0.94,-0.25,9.34,30.4,7.95,2.92,38.7,2022-2023
Valladolid,332.3,432.2,76.9,6283.3,2309.7,0.63,0.75,0.64,-0.12,8.53,25.5,5.87,2.42,32.7,2022-2023
