Equipo,TL,TE,OG,PSxG,PSxG/SoT,PSxG+/-,Temporada
Real Madrid,0.00,0.05,0.03,0.90,0.22,-0.02,2022-2023
Real Sociedad,0.03,0.08,0.05,0.86,0.24,-0.01,2022-2023
Sevilla,0.03,0.13,0.08,1.30,0.30,-0.04,2022-2023
Valencia,0.00,0.18,0.05,1.13,0.28,-0.00,2022-2023
Valladolid,0.03,0.00,0.03,1.65,0.28,0.02,2022-2023
Villarreal,0.00,0.11,0.03,1.15,0.27,0.12,2022-2023
Alaves,0.00,0.11,0.05,1.18,0.25,0.02,2023-2024
Almeria,0.00,0.21,0.00,1.85,0.32,-0.12,2023-2024
Athletic Club,0.00,0.05,0.11,1.06,0.28,0.19,2023-2024
Atletico de Madrid,0.00,0.08,0.00,1.05,0.28,-0.08,2023-2024
Barcelona,0.00,0.03,0.00,1.09,0.28,-0.06,2023-2024
Betis,0.08,0.08,0.08,1.25,0.26,0.14,2023-2024
Cadiz,0.00,0.16,0.03,1.36,0.30,-0.06,2023-2024
Celta Vigo,0.00,0.18,0.08,1.47,0.31,0.05,2023-2024
Getafe,0.00,0.18,0.00,1.45,0.29,0.03,2023-2024
Girona,0.00,0.21,0.00,1.34,0.28,0.13,2023-2024
Granada,0.00,0.32,0.05,1.85,0.33,-0.18,2023-2024
Las Palmas,0.00,0.13,0.08,1.35,0.29,0.19,2023-2024
Mallorca,0.03,0.11,0.03,1.15,0.26,0.02,2023-2024
Osasuna,0.00,0.21,0.00,1.36,0.33,-0.11,2023-2024
Rayo Vallecano,0.03,0.13,0.05,1.26,0.31,0.05,2023-2024
Real Madrid,0.00,0.05,0.03,0.91,0.29,0.25,2023-2024
Real Sociedad,0.00,0.13,0.03,1.07,0.27,0.07,2023-2024
Sevilla,0.03,0.11,0.05,1.41,0.28,0.04,2023-2024
Valencia,0.03,0.18,0.05,1.35,0.29,0.22,2023-2024
Villarreal,0.03,0.24,0.03,1.62,0.27,-0.06,2023-2024
