Equipo,Gls.,Dis,DaP,FK,TP,TPint,xG,npxG,Temporada
Sevilla,1.24,12.2,3.71,0.45,0.11,0.13,1.22,1.12,2022-2023
Valencia,1.05,12.6,3.68,0.47,0.13,0.21,1.30,1.13,2022-2023
Valladolid,0.84,11.7,3.61,0.50,0.08,0.11,1.01,0.93,2022-2023
Villarreal,1.50,13.1,4.95,0.58,0.11,0.18,1.62,1.48,2022-2023
Alaves,0.87,12.1,3.58,0.39,0.08,0.18,1.22,1.07,2023-2024
Almeria,1.11,12.6,4.29,0.47,0.05,0.05,1.28,1.24,2023-2024
Athletic Club,1.55,12.1,4.29,0.18,0.08,0.13,1.39,1.28,2023-2024
Atletico de Madrid,1.79,12.5,5.18,0.24,0.13,0.16,1.64,1.52,2023-2024
Barcelona,2.00,15.5,5.76,0.55,0.16,0.18,2.04,1.90,2023-2024
Betis,1.21,12.9,3.95,0.39,0.05,0.08,1.16,1.10,2023-2024
Cadiz,0.66,10.4,3.16,0.55,0.08,0.08,0.95,0.88,2023-2024
Celta Vigo,1.18,12.3,3.97,0.37,0.08,0.13,1.33,1.23,2023-2024
Getafe,1.11,11.7,3.95,0.37,0.16,0.18,1.20,1.06,2023-2024
Girona,2.21,12.5,4.68,0.34,0.18,0.21,1.86,1.70,2023-2024
Granada,0.92,10.4,3.24,0.39,0.13,0.21,1.12,0.96,2023-2024
Las Palmas,0.87,10.2,3.16,0.55,0.08,0.13,0.87,0.77,2023-2024
Mallorca,0.87,10.9,3.45,0.11,0.03,0.08,1.07,1.01,2023-2024
Osasuna,1.18,11.1,3.26,0.37,0.11,0.13,1.07,0.96,2023-2024
Rayo Vallecano,0.76,12.8,4.21,1.24,0.16,0.16,1.11,0.99,2023-2024
Real Madrid,2.24,15.6,6.37,0.63,0.05,0.13,1.81,1.72,2023-2024
Real Sociedad,1.26,12.0,3.87,0.63,0.11,0.11,1.18,1.10,2023-2024
Sevilla,1.21,12.8,4.21,0.39,0.05,0.05,1.18,1.14,2023-2024
Valencia,1.03,9.68,3.24,0.42,0.21,0.24,1.13,0.95,2023-2024
Villarreal,1.68,12.2,4.29,0.21,0.13,0.18,1.46,1.32,2023-2024
