Equipo,Derribos Tkl,Derribos TklG,Derribos 3.º def.,Derribos 3.º cent.,Derribos 3.º ataq.,Desafíos Tkl,Desafíos Att,Desafíos Tkl%,Desafíos Pérdida,Bloqueos,Bloqueos Dis,Bloqueos Pases,Intercepciones,Tkl+Int,Desp.,Err,Temporada
Celta Vigo,17.4,9.68,8.74,6.82,1.87,6.26,18.3,34.3,12.0,10.5,2.34,8.16,10.7,28.1,19.8,0.32,2020-2021
Eibar,13.5,8.13,6.00,5.37,2.16,5.34,13.6,39.2,8.29,9.47,1.66,7.82,11.4,24.9,15.6,0.29,2020-2021
Elche,14.5,8.84,8.53,4.97,1.00,5.53,15.2,36.4,9.66,9.39,2.55,6.84,10.2,24.7,18.1,0.26,2020-2021
Getafe,15.2,9.26,6.11,7.26,1.87,6.34,16.3,38.9,9.95,9.50,1.39,8.11,10.3,25.6,16.2,0.11,2020-2021
Granada,13.1,7.34,5.95,5.61,1.58,4.87,12.3,39.5,7.45,10.2,3.37,6.84,10.3,23.4,20.1,0.18,2020-2021
Huesca,14.6,8.45,8.13,5.03,1.47,6.29,15.2,41.3,8.95,9.00,2.18,6.82,11.5,26.1,16.2,0.18,2020-2021
Levante,13.4,7.42,7.05,4.95,1.45,5.47,14.3,38.3,8.82,8.82,2.45,6.37,11.4,24.9,17.9,0.39,2020-2021
Osasuna,13.8,7.39,5.87,5.71,2.21,5.89,14.5,40.6,8.63,9.18,2.63,6.55,10.3,24.1,20.4,0.18,2020-2021
Real Madrid,14.0,8.37,7.00,4.95,2.03,5.05,14.0,36.1,8.95,9.05,2.18,6.87,10.5,24.4,14.3,0.32,2020-2021
Real Sociedad,14.4,8.47,6.32,5.97,2.11,5.26,12.6,41.7,7.37,9.29,2.53,6.76,8.29,22.7,14.8,0.13,2020-2021
Sevilla,12.9,7.82,5.79,5.26,1.89,4.84,13.4,36.1,8.58,8.16,2.37,5.79,9.53,22.5,16.7,0.26,2020-2021
Valencia,12.2,7.29,6.34,4.29,1.55,5.21,15.6,33.4,10.4,9.79,3.24,6.55,10.3,22.5,20.7,0.32,2020-2021
Valladolid,14.7,8.45,7.50,5.47,1.74,6.50,17.9,36.3,11.4,9.97,2.68,7.29,11.3,26.1,21.4,0.24,2020-2021
Villarreal,14.2,8.24,6.74,5.39,2.05,6.29,15.5,40.6,9.18,9.42,2.66,6.76,9.76,23.9,16.8,0.45,2020-2021
Alaves,14.5,8.53,7.13,5.82,1.53,6.89,16.8,41.1,9.87,9.82,2.79,7.03,9.89,24.4,23.4,0.18,2021-2022
Athletic Club,13.4,7.68,5.71,5.68,1.97,5.89,15.3,38.5,9.42,10.8,3.37,7.45,8.92,22.3,20.7,0.21,2021-2022
Atletico de Madrid,16.7,9.11,7.63,7.34,1.76,7.71,16.3,47.3,8.58,9.79,2.58,7.21,9.61,26.3,17.1,0.37,2021-2022
Barcelona,15.4,8.71,6.21,7.11,2.13,6.42,13.0,49.5,6.55,9.11,2.24,6.87,8.55,24.0,12.3,0.45,2021-2022
Betis,17.4,10.3,8.47,6.87,2.08,8.53,18.3,46.6,9.76,10.2,2.95,7.21,9.50,26.9,20.4,0.29,2021-2022
