idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada
332,Celta Vigo,Valencia,1,1,2017-2018
333,Eibar,Getafe,0,1,2017-2018
334,Girona,Espanyol,0,2,2017-2018
335,Malaga,Real Sociedad,2,0,2017-2018
336,Las Palmas,Alaves,0,4,2017-2018
337,Atletico de Madrid,Betis,0,0,2017-2018
338,Athletic Club,Levante,1,3,2017-2018
339,Sevilla,Real Madrid,3,2,2017-2018
340,Barcelona,Villarreal,5,1,2017-2018
341,Levante,Sevilla,2,1,2017-2018
342,Villarreal,Celta Vigo,4,1,2017-2018
343,Real Madrid,Leganes,2,1,2017-2018
344,Real Sociedad,Athletic Club,3,1,2017-2018
345,Espanyol,Las Palmas,1,1,2017-2018
346,Deportivo de La Coruna,Barcelona,2,4,2017-2018
347,Valencia,Eibar,0,0,2017-2018
348,Getafe,Girona,1,1,2017-2018
349,Alaves,Atletico de Madrid,0,1,2017-2018
350,Betis,Malaga,2,1,2017-2018
351,Sevilla,Real Sociedad,1,0,2017-2018
352,Villarreal,Valencia,1,0,2017-2018
353,Celta Vigo,Deportivo de La Coruna,1,1,2017-2018
354,Athletic Club,Betis,2,0,2017-2018
355,Girona,Eibar,1,4,2017-2018
356,Las Palmas,Getafe,0,1,2017-2018
357,Atletico de Madrid,Espanyol,0,2,2017-2018
358,Malaga,Alaves,0,3,2017-2018
359,Barcelona,Real Madrid,2,2,2017-2018
360,Leganes,Levante,0,3,2017-2018
361,Girona,Valencia,0,1,2017-2018
362,Alaves,Athletic Club,3,1,2017-2018
363,Deportivo de La Coruna,Villarreal,2,4,2017-2018
364,Real Madrid,Celta Vigo,6,0,2017-2018
365,Getafe,Atletico de Madrid,0,1,2017-2018
366,Betis,Sevilla,2,2,2017-2018
367,Eibar,Las Palmas,1,0,2017-2018
368,Real Sociedad,Leganes,3,2,2017-2018
369,Espanyol,Malaga,4,1,2017-2018
370,Levante,Barcelona,5,4,2017-2018
371,Celta Vigo,Levante,4,2,2017-2018
372,Sevilla,Alaves,1,0,2017-2018
373,Malaga,Getafe,0,1,2017-2018
374,Las Palmas,Girona,1,2,2017-2018
375,Leganes,Betis,3,2,2017-2018
376,Villarreal,Real Madrid,2,2,2017-2018
377,Athletic Club,Espanyol,0,1,2017-2018
378,Barcelona,Real Sociedad,1,0,2017-2018
379,Valencia,Deportivo de La Coruna,2,1,2017-2018
380,Atletico de Madrid,Eibar,2,2,2017-2018
381,Girona,Valladolid,0,0,2018-2019
382,Betis,Levante,0,3,2018-2019
383,Celta Vigo,Espanyol,1,1,2018-2019
384,Villarreal,Real Sociedad,1,2,2018-2019
385,Barcelona,Alaves,3,0,2018-2019
386,Eibar,Huesca,1,2,2018-2019
387,Rayo Vallecano,Sevilla,1,4,2018-2019
388,Real Madrid,Getafe,2,0,2018-2019
389,Valencia,Atletico de Madrid,1,1,2018-2019
390,Athletic Club,Leganes,2,1,2018-2019
391,Getafe,Eibar,2,0,2018-2019
392,Leganes,Real Sociedad,2,2,2018-2019
393,Alaves,Betis,0,0,2018-2019
394,Atletico de Madrid,Rayo Vallecano,1,0,2018-2019
395,Valladolid,Barcelona,0,1,2018-2019
396,Espanyol,Valencia,2,0,2018-2019
397,Sevilla,Villarreal,0,0,2018-2019
398,Girona,Real Madrid,1,4,2018-2019
399,Levante,Celta Vigo,1,2,2018-2019
400,Athletic Club,Huesca,2,2,2018-2019
401,Getafe,Valladolid,0,0,2018-2019
402,Eibar,Real Sociedad,2,1,2018-2019
403,Villarreal,Girona,0,1,2018-2019
404,Celta Vigo,Atletico de Madrid,2,0,2018-2019
405,Real Madrid,Leganes,4,1,2018-2019
406,Levante,Valencia,2,2,2018-2019
407,Alaves,Espanyol,2,1,2018-2019
408,Barcelona,Huesca,8,2,2018-2019
409,Betis,Sevilla,1,0,2018-2019
410,Rayo Vallecano,Athletic Club,1,1,2018-2019
411,Huesca,Rayo Vallecano,0,1,2018-2019
412,Atletico de Madrid,Eibar,1,1,2018-2019
413,Real Sociedad,Barcelona,1,2,2018-2019
414,Valencia,Betis,0,0,2018-2019
415,Athletic Club,Real Madrid,1,1,2018-2019
416,Leganes,Villarreal,0,1,2018-2019
417,Espanyol,Levante,1,0,2018-2019
418,Valladolid,Alaves,0,1,2018-2019
419,Sevilla,Getafe,0,2,2018-2019
420,Girona,Celta Vigo,3,2,2018-2019
421,Huesca,Real Sociedad,0,1,2018-2019
422,Celta Vigo,Valladolid,3,3,2018-2019
423,Eibar,Leganes,1,0,2018-2019
424,Rayo Vallecano,Alaves,1,5,2018-2019
425,Getafe,Atletico de Madrid,0,2,2018-2019
426,Real Madrid,Espanyol,1,0,2018-2019
427,Barcelona,Girona,2,2,2018-2019
428,Levante,Sevilla,2,6,2018-2019
429,Betis,Athletic Club,2,2,2018-2019
430,Villarreal,Valencia,0,0,2018-2019
431,Atletico de Madrid,Huesca,3,0,2018-2019
432,Espanyol,Eibar,1,0,2018-2019
433,Real Sociedad,Rayo Vallecano,2,2,2018-2019
434,Athletic Club,Villarreal,0,3,2018-2019
435,Leganes,Barcelona,2,1,2018-2019
436,Valencia,Celta Vigo,1,1,2018-2019
437,Sevilla,Real Madrid,3,0,2018-2019
438,Alaves,Getafe,1,1,2018-2019
439,Girona,Betis,0,1,2018-2019
440,Valladolid,Levante,2,1,2018-2019
441,Rayo Vallecano,Espanyol,2,2,2018-2019
442,Eibar,Sevilla,1,3,2018-2019
443,Real Sociedad,Valencia,0,1,2018-2019
444,Real Madrid,Atletico de Madrid,0,0,2018-2019
445,Barcelona,Athletic Club,1,1,2018-2019
446,Betis,Leganes,1,0,2018-2019
447,Levante,Alaves,2,1,2018-2019
448,Huesca,Girona,1,1,2018-2019
449,Villarreal,Valladolid,0,1,2018-2019
450,Celta Vigo,Getafe,1,1,2018-2019
451,Athletic Club,Real Sociedad,1,3,2018-2019
452,Alaves,Real Madrid,1,0,2018-2019
453,Getafe,Levante,0,1,2018-2019
454,Leganes,Rayo Vallecano,1,0,2018-2019
455,Girona,Eibar,2,3,2018-2019
456,Atletico de Madrid,Betis,1,0,2018-2019
457,Espanyol,Villarreal,3,1,2018-2019
458,Valencia,Barcelona,1,1,2018-2019
459,Sevilla,Celta Vigo,2,1,2018-2019
460,Valladolid,Huesca,1,0,2018-2019
461,Celta Vigo,Alaves,0,1,2018-2019
462,Barcelona,Sevilla,4,2,2018-2019
463,Villarreal,Atletico de Madrid,1,1,2018-2019
464,Valencia,Leganes,1,1,2018-2019
465,Real Madrid,Levante,1,2,2018-2019
466,Betis,Valladolid,0,1,2018-2019
467,Eibar,Athletic Club,1,1,2018-2019
468,Huesca,Espanyol,0,2,2018-2019
469,Rayo Vallecano,Getafe,1,2,2018-2019
470,Real Sociedad,Girona,0,0,2018-2019
471,Valladolid,Espanyol,1,1,2018-2019
472,Athletic Club,Valencia,0,0,2018-2019
473,Atletico de Madrid,Real Sociedad,2,0,2018-2019
474,Celta Vigo,Eibar,4,0,2018-2019
475,Girona,Rayo Vallecano,2,1,2018-2019
476,Levante,Leganes,2,0,2018-2019
477,Barcelona,Real Madrid,5,1,2018-2019
478,Alaves,Villarreal,2,1,2018-2019
479,Getafe,Betis,2,0,2018-2019
480,Sevilla,Huesca,2,1,2018-2019
481,Real Madrid,Valladolid,2,0,2018-2019
482,Leganes,Atletico de Madrid,1,1,2018-2019
483,Rayo Vallecano,Barcelona,2,3,2018-2019
484,Valencia,Girona,0,1,2018-2019
485,Betis,Celta Vigo,3,3,2018-2019
486,Real Sociedad,Sevilla,0,0,2018-2019
487,Eibar,Alaves,2,1,2018-2019
488,Huesca,Getafe,1,1,2018-2019
489,Villarreal,Levante,1,1,2018-2019
490,Espanyol,Athletic Club,1,0,2018-2019
491,Levante,Real Sociedad,1,3,2018-2019
492,Getafe,Valencia,0,1,2018-2019
493,Girona,Leganes,0,0,2018-2019
494,Atletico de Madrid,Athletic Club,3,2,2018-2019
495,Valladolid,Eibar,0,0,2018-2019
496,Alaves,Huesca,2,1,2018-2019
497,Barcelona,Betis,3,4,2018-2019
498,Celta Vigo,Real Madrid,2,4,2018-2019
499,Rayo Vallecano,Villarreal,2,2,2018-2019
500,Sevilla,Espanyol,2,1,2018-2019
501,Leganes,Alaves,1,0,2018-2019
502,Atletico de Madrid,Barcelona,1,1,2018-2019
503,Eibar,Real Madrid,3,0,2018-2019
504,Huesca,Levante,2,2,2018-2019
505,Valencia,Rayo Vallecano,3,0,2018-2019
506,Athletic Club,Getafe,1,1,2018-2019
507,Espanyol,Girona,1,3,2018-2019
508,Sevilla,Valladolid,1,0,2018-2019
509,Villarreal,Betis,2,1,2018-2019
510,Real Sociedad,Celta Vigo,2,1,2018-2019
511,Rayo Vallecano,Eibar,1,0,2018-2019
512,Celta Vigo,Huesca,2,0,2018-2019
513,Real Madrid,Valencia,2,0,2018-2019
514,Getafe,Espanyol,3,0,2018-2019
515,Valladolid,Leganes,2,4,2018-2019
