Equipo,GC,DaPC,Salvadas,PG,PE,PP,PaC,TPint,PD,Temporada
Valencia,1.39,4.29,2.95,0.29,0.39,0.32,0.32,0.21,0.18,2021-2022
Villarreal,0.97,3.37,2.39,0.42,0.29,0.29,0.37,0.13,0.11,2021-2022
Almeria,1.71,5.34,3.63,0.29,0.21,0.50,0.11,0.16,0.11,2022-2023
Athletic Club,1.13,3.24,2.18,0.37,0.24,0.39,0.29,0.08,0.08,2022-2023
Atletico de Madrid,0.87,3.37,2.50,0.61,0.21,0.18,0.34,0.13,0.11,2022-2023
Barcelona,0.53,2.68,2.24,0.74,0.11,0.16,0.68,0.08,0.08,2022-2023
Betis,1.08,3.84,2.79,0.45,0.24,0.32,0.34,0.08,0.08,2022-2023
Cadiz,1.39,5.32,3.89,0.26,0.32,0.42,0.34,0.26,0.24,2022-2023
Celta Vigo,1.39,3.53,2.11,0.29,0.26,0.45,0.26,0.21,0.13,2022-2023
Elche,1.76,5.47,3.68,0.13,0.26,0.61,0.11,0.26,0.18,2022-2023
Espanyol,1.82,4.82,3.03,0.21,0.34,0.45,0.16,0.16,0.13,2022-2023
Getafe,1.18,4.37,3.13,0.26,0.32,0.42,0.34,0.21,0.11,2022-2023
Girona,1.45,4.42,2.95,0.34,0.26,0.39,0.11,0.21,0.16,2022-2023
Mallorca,1.13,3.82,2.66,0.37,0.21,0.42,0.34,0.18,0.16,2022-2023
Osasuna,1.11,3.89,2.82,0.39,0.21,0.39,0.29,0.11,0.03,2022-2023
Rayo Vallecano,1.39,3.79,2.50,0.34,0.26,0.39,0.24,0.13,0.11,2022-2023
Real Madrid,0.95,3.58,2.63,0.63,0.16,0.21,0.34,0.13,0.11,2022-2023
Real Sociedad,0.92,3.50,2.61,0.55,0.21,0.24,0.39,0.05,0.03,2022-2023
Sevilla,1.42,4.24,2.87,0.34,0.26,0.39,0.24,0.08,0.05,2022-2023
Valencia,1.18,3.89,2.76,0.29,0.24,0.47,0.18,0.13,0.05,2022-2023
Valladolid,1.66,5.24,3.53,0.29,0.18,0.53,0.24,0.26,0.16,2022-2023
Villarreal,1.05,3.92,2.89,0.50,0.18,0.32,0.32,0.11,0.11,2022-2023
Alaves,1.21,3.87,2.71,0.32,0.26,0.42,0.29,0.21,0.21,2023-2024
Almeria,1.97,5.32,3.32,0.08,0.32,0.61,0.16,0.24,0.16,2023-2024
Athletic Club,0.97,3.53,2.58,0.50,0.29,0.21,0.47,0.13,0.03,2023-2024
Atletico de Madrid,1.13,3.79,2.66,0.63,0.11,0.26,0.34,0.05,0.03,2023-2024
Barcelona,1.16,3.71,2.55,0.68,0.18,0.13,0.45,0.05,0.05,2023-2024
Betis,1.18,4.16,3.03,0.37,0.39,0.24,0.34,0.21,0.18,2023-2024
Cadiz,1.45,4.61,3.18,0.16,0.39,0.45,0.26,0.05,0.05,2023-2024
Celta Vigo,1.50,4.32,2.87,0.26,0.29,0.45,0.16,0.21,0.16,2023-2024
Getafe,1.42,4.55,3.11,0.26,0.34,0.39,0.26,0.18,0.13,2023-2024
Girona,1.21,4.42,3.18,0.66,0.16,0.18,0.32,0.18,0.13,2023-2024
Granada,2.08,5.34,3.32,0.11,0.24,0.66,0.08,0.16,0.13,2023-2024
Las Palmas,1.24,4.11,2.87,0.26,0.26,0.47,0.21,0.24,0.13,2023-2024
Mallorca,1.16,3.89,2.74,0.21,0.42,0.37,0.26,0.13,0.11,2023-2024
Osasuna,1.47,4.00,2.50,0.32,0.24,0.45,0.26,0.05,0.03,2023-2024
Rayo Vallecano,1.26,3.97,2.74,0.21,0.37,0.42,0.34,0.05,0.03,2023-2024
Real Madrid,0.68,3.11,2.45,0.76,0.21,0.03,0.55,0.03,0.03,2023-2024
Real Sociedad,1.03,3.55,2.53,0.42,0.32,0.26,0.39,0.18,0.16,2023-2024
Sevilla,1.42,4.61,3.24,0.26,0.29,0.45,0.21,0.13,0.13,2023-2024
Valencia,1.18,4.21,3.00,0.34,0.26,0.39,0.34,0.16,0.08,2023-2024
Villarreal,1.71,5.63,3.95,0.37,0.29,0.34,0.16,0.16,0.16,2023-2024
